MyDate,Time,Park,Site,Code,Cover,Notes,Creator,CreationDate,EditDate,x,y
7/3/2024,11:04,CUVA,CUVA_InvPla_40,PHAU7,4,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,ROMU,5,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,ELUM,6,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,ALPE4,3,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,LOMA6,5,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,LOMO2,2,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,LIVU,4,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,LOJA,4,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,VETH,2,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,RUCR,1,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,POPR,3,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,PHAR3,3,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,TORI-H,1,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,AIAL,3,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,ARMI2,3,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,HEMA3,1,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,GLHE2,2,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,LOTA,2,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,11:04,CUVA,CUVA_InvPla_40,CIAR4,2,,SBingham@nps.gov_nps,08:19.7,08:19.7,-81.60577532,41.36918932
7/3/2024,15:59,CUVA,CUVA_InvPla_33,PHAU7,3,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,DIFU2,2,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,DILA4,2,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,LOMO2,4,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,RUCR,1,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,LIVU,3,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,POCU6,2,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,TORI-H,1,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,ROMU,5,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,BETH,4,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,HEMA3,1,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,LOMA6,6,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,WISI,2,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,ELUM,4,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,ALPE4,3,,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
7/3/2024,15:59,CUVA,CUVA_InvPla_33,FRAL4,5,Survey this site late season to avoid standing water.,dmarcum@nps.gov_nps,03:04.9,03:04.9,-81.51790149,41.2324358
5/30/2024,14:33,CUVA,CUVA_InvPla_203,ROMU,5,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
5/30/2024,14:33,CUVA,CUVA_InvPla_203,LYNU,5,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
5/30/2024,14:33,CUVA,CUVA_InvPla_203,PHAR3,5,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
