FeatureID,LocationID
28,CUVAWetlnd172
29,CUVAWetlnd173
30,CUVAWetlnd174
32,CUVAWetlnd175
39,CUVAWetlnd176
43,CUVAWetlnd177
56,CUVAWetlnd178
124,CUVAWetlnd152
192,CUVAWetlnd179
305,CUVAWetlnd180
306,CUVAWetlnd181
307,CUVAWetlnd182
309,CUVAWetlnd183
310,CUVAWetlnd184
311,CUVAWetlnd185
317,CUVAWetlnd186
343,CUVAWetlnd187
351,CUVAWetlnd188
363,CUVAWetlnd189
398,CUVAWetlnd153
413,CUVAWetlnd190
416,CUVAWetlnd191
422,CUVAWetlnd192
526,CUVAWetlnd136
554,CUVAWetlnd154
623,CUVAWetlnd193
627,CUVAWetlnd194
669,CUVAWetlnd195
676,CUVAWetlnd196
683,CUVAWetlnd155
692,CUVAWetlnd197
697,CUVAWetlnd198
743,CUVAWetlnd199
748,CUVAWetlnd200
867,CUVAWetlnd201
885,CUVAWetlnd202
887,CUVAWetlnd203
889,CUVAWetlnd204
927,CUVAWetlnd205
939,CUVAWetlnd206
941,CUVAWetlnd207
947,CUVAWetlnd208
950,CUVAWetlnd209
951,CUVAWetlnd210
953,CUVAWetlnd211
957,CUVAWetlnd212
969,CUVAWetlnd141
970,CUVAWetlnd156
1007,CUVAWetlnd214
1017,CUVAWetlnd215
1034,CUVAWetlnd216
1036,CUVAWetlnd217
1043,CUVAWetlnd143
1047,CUVAWetlnd144
1049,CUVAWetlnd145
1058,CUVAWetlnd218
1068,CUVAWetlnd219
1069,CUVAWetlnd220
1070,CUVAWetlnd221
1188,CUVAWetlnd223
1196,CUVAWetlnd224
1205,CUVAWetlnd225
1221,CUVAWetlnd226
1351,CUVAWetlnd227
1364,CUVAWetlnd228
1427,CUVAWetlnd157
1468,CUVAWetlnd229
1485,CUVAWetlnd213
1620,CUVAWetlnd222
1079RS2,CUVAWetlnd151
1622KR,CUVAWetlnd290
1627KR,CUVAWetlnd291
241K (VK3),CUVAWetlnd127
241VK4,CUVAWetlnd128
242VK1,CUVAWetlnd129
242VK2,CUVAWetlnd130
365BM2,CUVAWetlnd131
365BM3,CUVAWetlnd132
365BM4,CUVAWetlnd133
365BM5,CUVAWetlnd134
365BM6,CUVAWetlnd135
526SB1,CUVAWetlnd137
526SB2,CUVAWetlnd138
526SB3,CUVAWetlnd139
540SF1,CUVAWetlnd293
540SF2,CUVAWetlnd292
540SF3,CUVAWetlnd294
540SF4,CUVAWetlnd295
968PV968,CUVAWetlnd140
970PV,CUVAWetlnd142
977FP1,CUVAWetlnd146
977FP2,CUVAWetlnd147
977FP3,CUVAWetlnd148
977FP4,CUVAWetlnd149
977FP5,CUVAWetlnd150

