EventID,LocationID,FeatureID,ModNo,Scientific_Name,DBH
CUVAWetlnd2014Jul31,CUVAWetlnd155,683,2.00,Acer rubrum,67.90
CUVAWetlnd2014Jul31,CUVAWetlnd155 ,683,3.00,Quercus palustris,41.80
CUVAWetlnd2014Jul31,CUVAWetlnd155 ,683,6.00,Acer rubrum,67.20
CUVAWetlnd2014Jul31,CUVAWetlnd155 ,683,6.00,Quercus palustris,51.60
CUVAWetlnd2014Jul31,CUVAWetlnd155 ,683,10.00,Quercus bicolor,64.40
CUVAWetlnd2014Jul31,CUVAWetlnd155 ,683,10.00,Fraxinus pennsylvanica,40.50
CUVAWetlnd2013Aug12,CUVAWetlnd150,977FP5,3.00,Populus deltoides,42.50
CUVAWetlnd2013Aug12,CUVAWetlnd150,977FP5,4.00,Populus deltoides,72.20
CUVAWetlnd2013Aug12,CUVAWetlnd150,977FP5,5.00,Populus deltoides,49.70
CUVAWetlnd2013Aug12,CUVAWetlnd150,977FP5,5.00,Populus deltoides,48.20
CUVAWetlnd2013Aug12,CUVAWetlnd150,977FP5,6.00,Populus deltoides,56.80
CUVAWetlnd2013Aug12,CUVAWetlnd150,977FP5,6.00,Populus deltoides,54.10
CUVAWetlnd2013Aug12,CUVAWetlnd150,977FP5,7.00,Populus deltoides,69.60
CUVAWetlnd2013Aug12,CUVAWetlnd150,977FP5,7.00,Populus deltoides,63.40
CUVAWetlnd2013Aug12,CUVAWetlnd150,977FP5,8.00,Populus deltoides,42.90
CUVAWetlnd2013Aug12,CUVAWetlnd150,977FP5,5.00,Standing dead,76.10
CUVAWetlnd2013Aug12,CUVAWetlnd150,977FP5,5.00,Standing dead,57.00
CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2.00,Acer saccharinum,41.50
CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,4.00,Platanus occidentalis,75.50
CUVAWetlnd2013Aug28,CUVAWetlnd148,977FP3,2.00,Populus deltoides,98.70
CUVAWetlnd2013Aug19,CUVAWetlnd149,977FP4,1.00,Salix nigra,55.20
CUVAWetlnd2013Aug19,CUVAWetlnd149,977FP4,2.00,Salix nigra,55.20
CUVAWetlnd2014Aug14,CUVAWetlnd157,1427,1.00,Standing dead,56.40
CUVAWetlnd2014Aug14,CUVAWetlnd157,1427,1.00,Populus deltoides,70.20
