Species,Other_species_not_on_dropdown_list,Module,CoverClass_LT_6m,CoverClassAll,EditDate,HerbSiteName
Cornus racemosa,Foemina,2,6,6,8/1/2023 17:03,526
Rhamnus frangula,,2,6,6,8/1/2023 17:03,526
Fraxinus pennsylvanica,,2,4,4,8/1/2023 17:03,526
Rosa palustris,,2,3,3,8/1/2023 17:03,526
Sorghastrum nutans,,2,7,7,8/1/2023 17:03,526
Schedonorus arundinacea,Bunch type,2,6,6,8/1/2023 17:03,526
Euthamia graminifolia,,2,4,4,8/1/2023 17:03,526
Platanus occidentalis,,2,4,4,8/1/2023 17:03,526
Juncus dudleyi,Cartilaginous auricles,2,5,5,8/1/2023 17:03,526
Oxypolis rigidior,,2,2,2,8/1/2023 17:03,526
Agrostis gigantea,Voucher,2,4,4,8/1/2023 17:03,526
Prunella vulgaris var. lanceolata,,2,2,2,8/1/2023 17:03,526
Carex aurea,,2,2,2,8/1/2023 17:03,526
Viburnum opulus var. opulus,,2,3,3,8/1/2023 17:03,526
Carex pellita,,2,3,3,8/1/2023 17:03,526
Juncus acuminatus,,2,3,3,8/1/2023 17:03,526
Rosa multiflora,,2,2,2,8/1/2023 17:03,526
Equisetum arvense,,2,4,4,8/1/2023 17:03,526
Asclepias incarnata,,2,2,2,8/1/2023 17:03,526
Scirpus atrovirens,,2,4,4,8/1/2023 17:03,526
Pycnanthemum muticum,,2,3,3,8/1/2023 17:03,526
Populus deltoides,,2,2,2,8/1/2023 17:03,526
Symphyotrichum lanceolatum,Not hairy,2,4,4,8/1/2023 17:03,526
Lotus corniculatus,,2,3,3,8/1/2023 17:03,526
Cirsium muticum,,2,2,2,8/1/2023 17:03,526
Lycopus americana,,2,2,2,8/1/2023 17:03,526
Panicum villosissimum,,2,2,2,8/1/2023 17:03,526
Coreopsis tripteris,Coreopsis tripteris,2,3,3,8/1/2023 17:03,526
Eleocharis elliptica,,2,7,7,8/1/2023 17:03,526
Ulmus americana,,2,2,2,8/1/2023 17:03,526
Scirpus pendulus,Voucher,2,3,3,8/1/2023 17:03,526
Alnus incana,,2,4,4,8/1/2023 17:03,526
Salix discolor,Glacous white undr and stipules.  Hairs on edges. serrate,2,2,2,8/1/2023 17:03,526
Physocarpus opulifolius,Physocarpus opulifolius,2,4,4,8/1/2023 17:03,526
Fraxinus nigra,,2,1,1,8/1/2023 17:03,526
Carex granularis,Glaucous,2,2,2,8/1/2023 17:03,526
Viburnum dentatum,,2,2,2,8/1/2023 17:03,526
Tussilago farfara,,2,2,2,8/1/2023 17:03,526
Daucus carota,,2,2,2,8/1/2023 17:03,526
Erigeron philadelphicus,,2,2,2,8/1/2023 17:03,526
Carex vulpinoidea,,2,2,2,8/1/2023 17:03,526
Panicum clandestinum,,2,2,2,8/1/2023 17:03,526
Malus sieboldi,Lobed malus,2,2,2,8/1/2023 17:03,526
Cornus racemosa,Foemina,3,6,6,8/1/2023 17:03,526
Rosa palustris,,3,5,5,8/1/2023 17:03,526
Platanus occidentalis,,3,6,6,8/1/2023 17:03,526
Populus deltoides,,3,6,6,8/1/2023 17:03,526
Rhamnus frangula,,3,4,4,8/1/2023 17:03,526
Scirpus atrovirens,,3,4,4,8/1/2023 17:03,526
Sorghastrum nutans,,3,7,7,8/1/2023 17:03,526
Daucus carota,,3,3,3,8/1/2023 17:03,526
Equisetum arvense,,3,8,8,8/1/2023 17:03,526
Prunella vulgaris var. lanceolata,,3,3,3,8/1/2023 17:03,526
Schoenoplectus americanus,,3,3,3,8/1/2023 17:03,526
Symphyotrichum lanceolatum,,3,5,5,8/1/2023 17:03,526
Fraxinus pennsylvanica,,3,3,3,8/1/2023 17:03,526
Carex granularis,,3,2,2,8/1/2023 17:03,526
Tussilago farfara,,3,3,3,8/1/2023 17:03,526
Panicum villosissimum,,3,2,2,8/1/2023 17:03,526
Lotus corniculatus,,3,2,2,8/1/2023 17:03,526
Juncus brachycephalus,,3,2,2,8/1/2023 17:03,526
Solidago altissima,,3,2,2,8/1/2023 17:03,526
Silphium trifoliatum,,3,2,2,8/1/2023 17:03,526
Euthamia graminifolia,,3,2,2,8/1/2023 17:03,526
Juncus dudleyi,,3,3,3,8/1/2023 17:03,526
Elaeagnus umbellata,,3,2,2,8/1/2023 17:03,526
Melilotus alba,,3,2,2,8/1/2023 17:03,526
Phragmites australis ssp. Australis,,3,2,2,8/1/2023 17:03,526
Asclepias incarnata,,3,2,2,8/1/2023 17:03,526
Salix exigua,,3,3,3,8/1/2023 17:03,526
Viburnum dentatum,,3,2,2,8/1/2023 17:03,526
Pycnanthemum muticum,,3,2,2,8/1/2023 17:03,526
Taraxacum officinale,,3,2,2,8/1/2023 17:03,526
Sabatia angularis,Sabatia angularis,3,2,2,8/1/2023 17:03,526
Viburnum opulus var. opulus,,3,2,2,8/1/2023 17:03,526
Oxypolis rigidior,,3,2,2,8/1/2023 17:03,526
Juncus effusus,,3,2,2,8/1/2023 17:03,526
Lycopus americana,Americana,3,2,2,8/1/2023 17:03,526
Cirsium muticum,,3,2,2,8/1/2023 17:03,526
Carex vulpinoidea,,3,2,2,8/1/2023 17:03,526
Panicum clandestinum,,3,2,2,8/1/2023 17:03,526
Solidago nemoralis,Solidago nemoralis,3,2,2,8/1/2023 17:03,526
Coreopsis tripteris,Coreopsis tripteris,3,2,2,8/1/2023 17:03,526
Alnus incana,,3,2,2,8/1/2023 17:03,526
Festuca arundinacea,,3,5,5,8/1/2023 17:03,526
Microstegium vimineum,,3,2,2,8/1/2023 17:03,526
Helianthus divaricatus,Helianthus divaricatus,3,2,2,8/1/2023 17:03,526
Solidago rugosa,,3,2,2,8/1/2023 17:03,526
Calamagrostis canadensis,,3,2,2,8/1/2023 17:03,526
Rosa multiflora,,3,2,2,8/1/2023 17:03,526
Sorghastrum nutans,,8,6,6,8/2/2023 17:05,526
Lysimachia terrestris,,8,6,6,8/2/2023 17:05,526
Asclepias incarnata,,8,3,3,8/2/2023 17:05,526
Schedonorus arundinacea,Ciliate auricles,8,6,6,8/2/2023 17:05,526
Calamagrostis canadensis,,8,6,6,8/2/2023 17:05,526
Phalaris arundinacea,,8,3,3,8/2/2023 17:05,526
Scirpus atrovirens,,8,5,5,8/2/2023 17:05,526
Rhamnus frangula,,8,3,3,8/2/2023 17:05,526
Fraxinus pennsylvanica,,8,4,4,8/2/2023 17:05,526
Carex hystericina,,8,2,2,8/2/2023 17:05,526
Euthamia graminifolia,,8,4,4,8/2/2023 17:05,526
Platanus occidentalis,,8,3,3,8/2/2023 17:05,526
Cornus racemosa,Foemina,8,4,4,8/2/2023 17:05,526
Eleocharis elliptica,,8,8,8,8/2/2023 17:05,526
Oxypolis rigidior,,8,2,2,8/2/2023 17:05,526
Scirpus pendulus,,8,3,3,8/2/2023 17:05,526
Juncus torreyi,,8,4,4,8/2/2023 17:05,526
Juncus brachycephalus,,8,5,5,8/2/2023 17:05,526
Pycnanthemum muticum,,8,2,2,8/2/2023 17:05,526
Symphyotrichum prenanthoides,,8,2,2,8/2/2023 17:05,526
Lycopus americana,,8,2,2,8/2/2023 17:05,526
Chelone glabra,,8,2,2,8/2/2023 17:05,526
Solidago altissima,,8,2,2,8/2/2023 17:05,526
Toxicodendron radicans,,8,2,2,8/2/2023 17:05,526
Panicum villosissimum,,8,2,2,8/2/2023 17:05,526
Dicot sp.  tree,Dicot sp.  tree,8,2,2,8/2/2023 17:05,526
Carex granularis,,8,2,2,8/2/2023 17:05,526
Juncus dudleyi,,8,4,4,8/2/2023 17:05,526
Daucus carota,,8,2,2,8/2/2023 17:05,526
Alnus incana,,8,3,3,8/2/2023 17:05,526
Symphyotrichum lanceolatum,,8,2,2,8/2/2023 17:05,526
Populus deltoides,,8,2,2,8/2/2023 17:05,526
Prunella vulgaris var. lanceolata,Var lanceolata,8,2,2,8/2/2023 17:05,526
Rosa palustris,,8,4,4,8/2/2023 17:05,526
Panicum clandestinum,,8,2,2,8/2/2023 17:05,526
Viburnum opulus var. opulus,,8,2,2,8/2/2023 17:05,526
Fraxinus nigra,,8,2,2,8/2/2023 17:05,526
Agrostis stolonifera,Monocot sp voucher,8,3,3,8/2/2023 17:05,526
Euphorbia corollata,Euphorbia corollata,8,2,2,8/2/2023 17:05,526
Calamagrostis canadensis,,9,7,7,8/2/2023 17:05,526
Platanus occidentalis,,9,4,4,8/2/2023 17:05,526
Coreopsis tripteris ,Coreopsis tripteris ,8,2,2,8/2/2023 17:05,526
Fraxinus pennsylvanica,,9,4,4,8/2/2023 17:05,526
Agrostis gigantea,,9,2,2,8/2/2023 17:05,526
Euthamia graminifolia,,9,6,6,8/2/2023 17:05,526
Panicum clandestinum,,9,5,5,8/2/2023 17:05,526
Coreopsis tripteris ,Coreopsis tripteris ,9,4,4,8/2/2023 17:05,526
Pycnanthemum muticum,,9,3,3,8/2/2023 17:05,526
Prunella vulgaris var. lanceolata,Var lanceolata,9,3,3,8/2/2023 17:05,526
Symphyotrichum prenanthoides,,9,4,4,8/2/2023 17:05,526
Viburnum opulus var. opulus,,9,2,2,8/2/2023 17:05,526
Alnus incana,,9,5,5,8/2/2023 17:05,526
Juncus torreyi,,9,4,4,8/2/2023 17:05,526
Sorghastrum nutans,,9,5,5,8/2/2023 17:05,526
Cirsium muticum,,9,2,2,8/2/2023 17:05,526
Symphyotrichum lanceolatum,,9,4,4,8/2/2023 17:05,526
Scirpus pendulus,,9,3,3,8/2/2023 17:05,526
Rhamnus frangula,,9,5,5,8/2/2023 17:05,526
Viburnum dentatum,,9,3,3,8/2/2023 17:05,526
Physocarpus opulifolius,Physocarpus opulifolius,9,3,3,8/2/2023 17:05,526
Crataegus sp.,,9,2,2,8/2/2023 17:05,526
Salix sericea,,9,2,2,8/2/2023 17:05,526
Cornus racemosa,Foemina,9,5,5,8/2/2023 17:05,526
Apios americana,,9,2,2,8/2/2023 17:05,526
Equisetum arvense,,9,4,4,8/2/2023 17:05,526
Lycopus americana,Likely americana,9,2,2,8/2/2023 17:05,526
Carex pellita,,9,3,3,8/2/2023 17:05,526
Carex granularis,,9,3,3,8/2/2023 17:05,526
Ulmus americana,,9,2,2,8/2/2023 17:05,526
Panicum villosissimum,,9,3,3,8/2/2023 17:05,526
Oxypolis rigidior,,9,2,2,8/2/2023 17:05,526
Toxicodendron radicans,,9,2,2,8/2/2023 17:05,526
Ligustrum vulgare,,9,2,2,8/2/2023 17:05,526
Agrostis stolonifera,Monocot sp same,9,3,3,8/2/2023 17:05,526
Pedicularis lanceolata,,9,2,2,8/2/2023 17:05,526
Eupatorium maculatum,,9,3,3,8/2/2023 17:05,526
Lysimachia terrestris,,9,3,3,8/2/2023 17:05,526
Asclepias incarnata,,9,2,2,8/2/2023 17:05,526
Eleocharis elliptica,,9,6,6,8/2/2023 17:05,526
Scirpus atrovirens,,9,3,3,8/2/2023 17:05,526
Penstemon digitalis,,9,2,2,8/2/2023 17:05,526
Helenium autumnale,,9,2,2,8/2/2023 17:05,526
Cicuta maculata,,9,2,2,8/2/2023 17:05,526
Solidago altissima,,9,2,2,8/2/2023 17:05,526
Chelone glabra,,9,2,2,8/2/2023 17:05,526
Festuca arundinacea,,9,6,6,8/2/2023 17:05,526
Vernonia gigantea,,9,2,2,8/2/2023 17:05,526
Mentha arvensis,,9,2,2,8/2/2023 17:05,526
Juncus dudleyi,,9,2,2,8/2/2023 17:05,526
Juncus brachycephalus,,9,2,2,8/2/2023 17:05,526
Glyceria striata,,2,8,8,8/3/2023 15:48,526SB3
Lysimachia nummularia,,2,6,6,8/3/2023 15:48,526SB3
Scutellaria lateriflora,,2,6,6,8/3/2023 15:48,526SB3
Phragmites australis ssp. Australis,,2,3,3,8/3/2023 15:48,526SB3
Impatiens capensis,,2,3,3,8/3/2023 15:48,526SB3
Carex stipata,,2,7,7,8/3/2023 15:48,526SB3
Lycopus uniflorus,,2,2,2,8/3/2023 15:48,526SB3
Leersia oryzoides,,2,3,3,8/3/2023 15:48,526SB3
Equisetum arvense,,2,8,8,8/3/2023 15:48,526SB3
Symphyotrichum lateriflorum,Hairs,2,3,3,8/3/2023 15:48,526SB3
Leersia virginica,,2,2,2,8/3/2023 15:48,526SB3
Cinna arundinacea,,2,2,2,8/3/2023 15:48,526SB3
Ranunculus hispidus var. nitidus ,Ranunculus septentrionalis,2,2,,8/3/2023 15:48,526SB3
Toxicodendron radicans,,2,3,3,8/3/2023 15:48,526SB3
Circaea lutetiana,,2,2,2,8/3/2023 15:48,526SB3
Microstegium vimineum,,2,2,2,8/3/2023 15:48,526SB3
Lindera benzoin,,2,2,2,8/3/2023 15:48,526SB3
Rosa multiflora,,2,3,3,8/3/2023 15:48,526SB3
Chelone glabra,,2,2,2,8/3/2023 15:48,526SB3
Fraxinus nigra,,2,4,4,8/3/2023 15:48,526SB3
Fraxinus pennsylvanica,,2,6,6,8/3/2023 15:48,526SB3
Symphyotrichum lanceolatum,,2,2,2,8/3/2023 15:48,526SB3
