VIBI_Herb_ID,EventID,LocationID,Species,ModNo,CovCode
1,CUVAWetlnd2014Oct06,CUVAWetlnd291,Potamogeton sp.,2,2
2,CUVAWetlnd2014Oct06,CUVAWetlnd291,Mimulus ringens,2,2
3,CUVAWetlnd2009Jul21,CUVAWetlnd130,Ranunculus sp.,2,1
4,CUVAWetlnd2009Jul21,CUVAWetlnd130,Carex lurida,3,1
19,CUVAWetlnd2015Jun23,CUVAWetlnd176,Rosa multiflora,1,4
20,CUVAWetlnd2015Jun23,CUVAWetlnd176,Polygonum virginianum,1,3
21,CUVAWetlnd2015Jun23,CUVAWetlnd176,Cinna arundinacea,1,2
22,CUVAWetlnd2015Jun23,CUVAWetlnd176,Geum canadense,1,3
23,CUVAWetlnd2015Jun23,CUVAWetlnd176,Lindera benzoin,1,7
24,CUVAWetlnd2015Jun23,CUVAWetlnd176,Polystichum acrostichoides,1,2
25,CUVAWetlnd2015Jun23,CUVAWetlnd176,Onoclea sensibilis,1,3
26,CUVAWetlnd2015Jun23,CUVAWetlnd176,Dryopteris carthusiana,1,2
27,CUVAWetlnd2015Jun23,CUVAWetlnd176,Pilea sp.,1,3
28,CUVAWetlnd2015Jun23,CUVAWetlnd176,Alliaria petiolata,1,2
29,CUVAWetlnd2015Jun23,CUVAWetlnd176,Lysimachia ciliata,1,2
30,CUVAWetlnd2015Jun23,CUVAWetlnd176,Ligustrum vulgare,1,3
31,CUVAWetlnd2015Jun23,CUVAWetlnd176,Leersia virginica,1,3
32,CUVAWetlnd2015Jun23,CUVAWetlnd176,Carex grisea,1,2
33,CUVAWetlnd2015Jun23,CUVAWetlnd176,Podophyllum peltatum,1,2
34,CUVAWetlnd2015Jun23,CUVAWetlnd176,Ribes cynosbati,1,2
35,CUVAWetlnd2015Jun23,CUVAWetlnd176,Berberis thunbergii,1,3
36,CUVAWetlnd2015Jun23,CUVAWetlnd176,Osmorhiza claytonii,1,2
37,CUVAWetlnd2015Jun23,CUVAWetlnd176,Lonicera maackii,1,2
38,CUVAWetlnd2015Jun23,CUVAWetlnd176,Arisaema triphyllum subsp. triphyllum,1,2
39,CUVAWetlnd2015Jun23,CUVAWetlnd176,Quercus palustris,1,1
40,CUVAWetlnd2015Jun23,CUVAWetlnd176,Moss sp.,1,3
41,CUVAWetlnd2015Jun23,CUVAWetlnd176,Galium triflorum,1,2
42,CUVAWetlnd2015Jun23,CUVAWetlnd176,Parthenocissus quinquefolia,1,3
43,CUVAWetlnd2015Jun23,CUVAWetlnd176,Acer saccharinum,1,2
44,CUVAWetlnd2015Jun23,CUVAWetlnd176,Vitis riparia,1,1
45,CUVAWetlnd2015Jun23,CUVAWetlnd176,Sanicula trifoliata,1,2
46,CUVAWetlnd2015Jun23,CUVAWetlnd176,Carex blanda,1,2
47,CUVAWetlnd2015Jun23,CUVAWetlnd176,Poa alsodes,1,2
48,CUVAWetlnd2015Jun23,CUVAWetlnd176,Carex rosea,1,2
49,CUVAWetlnd2015Jun23,CUVAWetlnd176,Carex digitalis,1,2
50,CUVAWetlnd2015Jun23,CUVAWetlnd176,Carya cordiformis,1,2
51,CUVAWetlnd2015Jun23,CUVAWetlnd176,Prenanthes altissima,1,2
52,CUVAWetlnd2015Jun23,CUVAWetlnd176,Duchesnea indica,1,6
53,CUVAWetlnd2015Jun24,CUVAWetlnd177,Bidens connata,1,7
54,CUVAWetlnd2015Jun24,CUVAWetlnd177,Quercus palustris,1,1
55,CUVAWetlnd2015Jun24,CUVAWetlnd177,Phragmites australis ssp. Australis,1,9
56,CUVAWetlnd2015Jun24,CUVAWetlnd177,Phragmites australis ssp. Australis,2,8
57,CUVAWetlnd2015Jun24,CUVAWetlnd177,Phragmites australis ssp. Australis,3,9
58,CUVAWetlnd2015Jun24,CUVAWetlnd177,Phragmites australis ssp. Australis,4,9
59,CUVAWetlnd2015Jun24,CUVAWetlnd177,Leersia oryzoides,1,3
60,CUVAWetlnd2015Jun24,CUVAWetlnd177,Toxicodendron radicans,4,1
61,CUVAWetlnd2015Jun24,CUVAWetlnd177,Fraxinus pennsylvanica,4,2
62,CUVAWetlnd2015Jun24,CUVAWetlnd177,Salix exigua,1,4
64,CUVAWetlnd2015Jun23,CUVAWetlnd178,Lindera benzoin,1,7
65,CUVAWetlnd2015Jun23,CUVAWetlnd178,Lonicera morrowii,1,3
66,CUVAWetlnd2015Jun23,CUVAWetlnd178,Sanicula gregaria,1,2
67,CUVAWetlnd2015Jun23,CUVAWetlnd178,Rosa multiflora,1,3
68,CUVAWetlnd2015Jun23,CUVAWetlnd178,Parthenocissus quinquefolia,1,3
69,CUVAWetlnd2015Jun23,CUVAWetlnd178,Ligustrum vulgare,1,3
70,CUVAWetlnd2015Jun23,CUVAWetlnd178,Dryopteris carthusiana,1,2
71,CUVAWetlnd2015Jun23,CUVAWetlnd178,Carex laxiculmis,1,2
72,CUVAWetlnd2015Jun23,CUVAWetlnd178,Agrimonia gryposepala,1,2
73,CUVAWetlnd2015Jun23,CUVAWetlnd178,Osmorhiza claytonii,1,2
74,CUVAWetlnd2015Jun23,CUVAWetlnd178,Fraxinus pennsylvanica,1,2
75,CUVAWetlnd2015Jun23,CUVAWetlnd178,Viburnum opulus var. opulus,1,1
76,CUVAWetlnd2015Jun23,CUVAWetlnd178,Galium sp.,1,2
77,CUVAWetlnd2015Jun23,CUVAWetlnd178,Viola pubescens,1,1
78,CUVAWetlnd2015Jun23,CUVAWetlnd178,Poa alsodes,1,2
79,CUVAWetlnd2015Jun23,CUVAWetlnd178,Ranunculus recurvatus,1,3
80,CUVAWetlnd2015Jun23,CUVAWetlnd178,Crataegus sp.,1,6
81,CUVAWetlnd2015Jun23,CUVAWetlnd178,Carex rosea,1,2
82,CUVAWetlnd2015Jun23,CUVAWetlnd178,Galium triflorum,1,2
83,CUVAWetlnd2015Jun23,CUVAWetlnd178,Alliaria petiolata,1,2
84,CUVAWetlnd2015Jun23,CUVAWetlnd178,Onoclea sensibilis,1,2
85,CUVAWetlnd2015Jun23,CUVAWetlnd178,Lonicera maackii,1,3
86,CUVAWetlnd2015Jun23,CUVAWetlnd178,Carya cordiformis,1,3
87,CUVAWetlnd2015Jun23,CUVAWetlnd178,Pilea sp.,1,4
88,CUVAWetlnd2015Jun23,CUVAWetlnd178,Cornus alternifolia,1,2
89,CUVAWetlnd2015Jun23,CUVAWetlnd178,Torilis japonica,1,2
90,CUVAWetlnd2015Jun23,CUVAWetlnd178,Leersia virginica,1,2
91,CUVAWetlnd2015Jun23,CUVAWetlnd178,Prunus serotina,1,5
92,CUVAWetlnd2015Jun23,CUVAWetlnd178,Fraxinus americana,1,5
93,CUVAWetlnd2015Jun23,CUVAWetlnd178,Carex crinita var. crinita,1,2
94,CUVAWetlnd2015Jun23,CUVAWetlnd178,Polystichum acrostichoides,1,2
95,CUVAWetlnd2015Jun23,CUVAWetlnd178,Toxicodendron radicans,1,2
96,CUVAWetlnd2015Jun23,CUVAWetlnd178,Carex stipata,1,2
97,CUVAWetlnd2011Jul11,CUVAWetlnd131,Fraxinus pennsylvanica,2,1
98,CUVAWetlnd2011Jul11,CUVAWetlnd131,Viburnum recognitum,2,1
99,CUVAWetlnd2011Aug08,CUVAWetlnd132,Moss sp.,4,3
100,CUVAWetlnd2011Aug08,CUVAWetlnd132,Ranunculus septentrionalis,4,2
101,CUVAWetlnd2011Aug08,CUVAWetlnd132,Parthenocissus quinquefolia,4,1
102,CUVAWetlnd2011Aug08,CUVAWetlnd132,Toxicodendron radicans,4,1
103,CUVAWetlnd2011Aug08,CUVAWetlnd132,Polygonum persicaria,4,1
104,CUVAWetlnd2011Aug08,CUVAWetlnd132,Rumex orbiculatus,4,1
105,CUVAWetlnd2011Aug08,CUVAWetlnd132,Poa sp.,4,6
106,CUVAWetlnd2011Aug08,CUVAWetlnd132,Acer rubrum,4,2
107,CUVAWetlnd2011Aug08,CUVAWetlnd132,Salix discolor,4,1
108,CUVAWetlnd2011Aug08,CUVAWetlnd132,Eleocharis sp.,4,3
109,CUVAWetlnd2011Aug08,CUVAWetlnd132,Taraxacum officinale,4,1
110,CUVAWetlnd2011Aug08,CUVAWetlnd132,Caulophyllum thalictroides,4,1
112,CUVAWetlnd2011Aug24,CUVAWetlnd139,Ulmus rubra,3,2
113,CUVAWetlnd2011Aug24,CUVAWetlnd139,Cinna arundinacea,2,2
114,CUVAWetlnd2011Jul19,CUVAWetlnd136,Scirpus pendulus,9,2
115,CUVAWetlnd2011Jul19,CUVAWetlnd136,Juncus brachycephalus,8,4
118,CUVAWetlnd2011Aug09,CUVAWetlnd135,Toxicodendron radicans,7,3
119,CUVAWetlnd2011Aug09,CUVAWetlnd135,Parthenocissus quinquefolia,7,3
120,CUVAWetlnd2011Aug09,CUVAWetlnd135,Rosa multiflora,7,6
121,CUVAWetlnd2011Aug09,CUVAWetlnd135,Cornus racemosa,7,5
122,CUVAWetlnd2011Aug09,CUVAWetlnd135,Glechoma hederacea,7,2
123,CUVAWetlnd2011Aug09,CUVAWetlnd135,Fraxinus pennsylvanica,7,2
124,CUVAWetlnd2011Aug09,CUVAWetlnd135,Polygonum virginianum,7,3
125,CUVAWetlnd2011Aug09,CUVAWetlnd135,Geum canadense,7,1
126,CUVAWetlnd2011Aug09,CUVAWetlnd135,Lonicera maackii,7,4
127,CUVAWetlnd2011Aug09,CUVAWetlnd135,Circaea lutetiana,7,2
128,CUVAWetlnd2011Aug09,CUVAWetlnd135,Crataegus sp.,7,2
129,CUVAWetlnd2011Aug09,CUVAWetlnd135,Carya sp.,7,2
130,CUVAWetlnd2011Aug09,CUVAWetlnd135,Elymus riparius,7,2
131,CUVAWetlnd2011Aug09,CUVAWetlnd135,Leersia virginica,7,2
132,CUVAWetlnd2011Aug09,CUVAWetlnd135,Tussilago farfara,7,5
133,CUVAWetlnd2011Aug09,CUVAWetlnd135,Potentilla simplex,7,2
134,CUVAWetlnd2011Aug09,CUVAWetlnd135,Acer negundo,7,1
136,CUVAWetlnd2015Jun23,CUVAWetlnd178,Geum canadense,1,2
137,CUVAWetlnd2015Jun23,CUVAWetlnd178,Celastrus orbiculatus,1,2
138,CUVAWetlnd2015Jun23,CUVAWetlnd178,Equisetum arvense,1,2
139,CUVAWetlnd2015Jun23,CUVAWetlnd178,Solidago rugosa,1,2
140,CUVAWetlnd2015Jun23,CUVAWetlnd178,Glyceria striata,1,2
141,CUVAWetlnd2015Jun23,CUVAWetlnd178,Rubus occidentalis,1,2
142,CUVAWetlnd2015Jun23,CUVAWetlnd178,Circaea lutetiana,1,2
143,CUVAWetlnd2015Jun23,CUVAWetlnd178,Euonymus alatus,1,1
144,CUVAWetlnd2015Jun23,CUVAWetlnd178,Quercus sp.,1,1
145,CUVAWetlnd2015Jun23,CUVAWetlnd178,Agrostis stolonifera,1,2
146,CUVAWetlnd2015Jun23,CUVAWetlnd178,Arisaema triphyllum subsp. triphyllum,1,2
147,CUVAWetlnd2015Jun23,CUVAWetlnd178,Carex grisea,1,2
