EventID,LocationID,Species,VoucherNo,ModNo,CovCode,Comments
CUVAWetlnd2023Jun27,CUVAWetlnd141,Phalaris arundinacea,,1,6,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Salix exigua,,1,8,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Carex vulpinoidea,,1,6,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Carex cristatella,,1,4,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Agrostis stolonifera,,1,6,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Lysimachia nummularia,,1,8,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Galium asprellum,,1,6,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Scutellaria lateriflora,,1,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Apocynum cannabinum,,1,3,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Iris pseudacorus,,1,3,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Toxicodendron radicans,,1,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Geum laciniatum,,1,2,Laciniatum?
CUVAWetlnd2023Jun27,CUVAWetlnd141,Asclepias incarnata,,1,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Cornus obliqua,,1,3,Cornus obliqua (x amomum?)
CUVAWetlnd2023Jun27,CUVAWetlnd141,Ulmus americana,,1,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Fraxinus pennsylvanica,,1,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Myosotis scorpioides,,1,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Cirsium arvense,,1,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Lythrum salicaria,,1,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Vitis riparia,,1,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Rosa multiflora,,1,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Rumex orbiculatus,,1,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Phalaris arundinacea,,2,8,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Salix exigua,,2,7,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Apocynum cannabinum,,2,4,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Lysimachia nummularia,,2,9,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Galium asprellum,,2,7,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Carex cristatella,,2,4,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Carex vulpinoidea,,2,4,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Cirsium arvense,,2,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Epilobium parviflorum,,2,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Asclepias incarnata,,2,1,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Vitis riparia,,2,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Iris pseudacorus,,2,3,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Trifolium pratense,,2,1,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Rosa multiflora,,2,2,
