ObjectID,GlobalID,WoodyModule,WoodySpecies,DiameterClassRange,Count,ParentGlobalID,CreationDate,Creator,EditDate,Editor,WoodySiteName,Shrub Clump,D0to1,D1to2_5,D2_5to5,D5to10,D10to15,D15to20,D20to25,D25to30,D30to35,D35to40,Dgt40,Dgt40_1,Dgt40_2,Dgt40_3,Dgt40_4,Dgt40_5
1139,8104b81f-b912-47b4-92ae-2dccb1f430f5,8,Crataegus pruinosa,,,3c7d6ac7-3e10-4250-9f59-4c9a59f18e37,9/26/2023 15:33,dmarcum@nps.gov_nps,9/26/2023 15:33,dmarcum@nps.gov_nps,977FP1,,,,1,,,,,,,,,,,,,
1055,3c3e40e6-83cb-4177-bc55-d2443b90c738,8,Malus prunifolia,,,0e0f4de3-9eab-4cfb-a52e-0d3df17736fc,9/26/2023 15:33,dmarcum@nps.gov_nps,9/26/2023 15:33,dmarcum@nps.gov_nps,977FP5,,,,2,1,,,,,,,,,,,,
17,fa3c558e-1a06-493c-824a-d8b157ed3f22,1,SLXEXI,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,8,46,240,44,,,,,,,,,,,,,
18,61847220-fcc1-4823-bc9d-c501fb4f2b3c,1,STNDEAD,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,,25,33,1,,,,,,,,,,,,,
19,dc772a7c-7bd8-4349-8571-49450acda364,1,COROBL,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,,1,,,,,,,,,,,,,,,
20,c8731d8e-ba38-4b14-a361-f06b25fd349a,1,ULMAME,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,,1,,,,,,,,,,,,,,,
21,54619af5-b188-46b3-8d6c-b49dc251b78a,2,SLXEXI,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,15,57,54,1,,,,,,,,,,,,,
22,3de8fd2a-a38d-4d99-acfd-90ca5f96c6dc,2,STNDEAD,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,4,23,46,,,,,,,,,,,,,,
23,555c3bb8-37ee-4332-b13a-d2536c487b22,2,ROSMUL,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,1,,,,,,,,,,,,,,,,
24,52c61118-ac5e-44b6-9826-ae7e63230949,3,SLXEXI,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/28/2023 16:45,dmarcum@nps.gov_nps,6/28/2023 16:45,dmarcum@nps.gov_nps,969,13,85,14,,,,,,,,,,,,,,
