EventID,LocationID,Module_No,Scientific_Name,DiamID,Count
CUVAWetlnd2023Jun27,CUVAWetlnd141,1,Salix exigua,C0,8
CUVAWetlnd2023Jun27,CUVAWetlnd141,1,Salix exigua,C1,46
CUVAWetlnd2023Jun27,CUVAWetlnd141,1,Salix exigua,C2,240
CUVAWetlnd2023Jun27,CUVAWetlnd141,1,Salix exigua,C3,44
CUVAWetlnd2023Jun27,CUVAWetlnd141,1,Standing dead,C1,25
CUVAWetlnd2023Jun27,CUVAWetlnd141,1,Standing dead,C2,33
CUVAWetlnd2023Jun27,CUVAWetlnd141,1,Standing dead,C3,1
CUVAWetlnd2023Jun27,CUVAWetlnd141,1,Cornus obliqua,C1,1
CUVAWetlnd2023Jun27,CUVAWetlnd141,1,Ulmus americana,C1,1
CUVAWetlnd2023Jun27,CUVAWetlnd141,2,Salix exigua,C0,15
CUVAWetlnd2023Jun27,CUVAWetlnd141,2,Salix exigua,C1,57
CUVAWetlnd2023Jun27,CUVAWetlnd141,2,Salix exigua,C2,54
CUVAWetlnd2023Jun27,CUVAWetlnd141,2,Salix exigua,C3,1
CUVAWetlnd2023Jun27,CUVAWetlnd141,2,Standing dead,C0,4
CUVAWetlnd2023Jun27,CUVAWetlnd141,2,Standing dead,C1,23
CUVAWetlnd2023Jun27,CUVAWetlnd141,2,Standing dead,C2,46
CUVAWetlnd2023Jun27,CUVAWetlnd141,2,Rosa multiflora,C0,1
CUVAWetlnd2023Jun28,CUVAWetlnd141,3,Salix exigua,C0,13
CUVAWetlnd2023Jun28,CUVAWetlnd141,3,Salix exigua,C1,85
CUVAWetlnd2023Jun28,CUVAWetlnd141,3,Salix exigua,C2,14
CUVAWetlnd2023Jun28,CUVAWetlnd141,3,Standing dead,C0,1
CUVAWetlnd2023Jun28,CUVAWetlnd141,3,Standing dead,C1,13
CUVAWetlnd2023Jun28,CUVAWetlnd141,3,Standing dead,C2,29
CUVAWetlnd2023Jun28,CUVAWetlnd141,3,Standing dead,C3,1
CUVAWetlnd2023Jun28,CUVAWetlnd141,3,Rosa multiflora,C0,2
CUVAWetlnd2023Jun28,CUVAWetlnd141,3,Rosa multiflora,C2,1
CUVAWetlnd2023Jun28,CUVAWetlnd141,4,Salix exigua,C0,24
CUVAWetlnd2023Jun28,CUVAWetlnd141,4,Salix exigua,C1,51
CUVAWetlnd2023Jun28,CUVAWetlnd141,4,Salix exigua,C2,19
CUVAWetlnd2023Jun28,CUVAWetlnd141,4,Salix exigua,C3,4
CUVAWetlnd2023Jun28,CUVAWetlnd141,4,Standing dead,C0,9
CUVAWetlnd2023Jun28,CUVAWetlnd141,4,Standing dead,C1,10
CUVAWetlnd2023Jun28,CUVAWetlnd141,4,Standing dead,C2,59
CUVAWetlnd2023Jun28,CUVAWetlnd141,4,Standing dead,C3,17
CUVAWetlnd2023Jun28,CUVAWetlnd141,4,Fraxinus pennsylvanica,C1,1
CUVAWetlnd2023Jun29,CUVAWetlnd145,1,Acer negundo,C7,1
CUVAWetlnd2023Jun29,CUVAWetlnd145,2,Acer negundo,C0,1
CUVAWetlnd2023Jun29,CUVAWetlnd145,2,Acer negundo,C8,1
CUVAWetlnd2023Jun29,CUVAWetlnd145,2,Acer negundo,C10,1
CUVAWetlnd2023Jun29,CUVAWetlnd145,2,Acer negundo,Big,1
CUVAWetlnd2023Jun29,CUVAWetlnd145,2,Standing dead,C5,1
CUVAWetlnd2023Jun29,CUVAWetlnd145,2,Populus deltoides,Big,1
CUVAWetlnd2023Jun29,CUVAWetlnd145,2,Rosa multiflora,C1,2
CUVAWetlnd2023Jun29,CUVAWetlnd145,3,Acer negundo,C8,1
CUVAWetlnd2023Jun29,CUVAWetlnd145,3,Acer negundo,C10,1
