EventID,FeatureID,LocationID,Species,Module,CoverClass,CoverClassAll,EditDate,Outfile
CUVAWetlnd20230710,970PV,CUVAWetlnd142,Acer x freemanii,2,2,6,2023-07-10,VIBI_herb_2023-08-28_150037.csv
CUVAWetlnd20230710,970PV,CUVAWetlnd142,Acer x freemanii,3,3,7,2023-07-10,VIBI_herb_2023-08-28_150037.csv
CUVAWetlnd20230710,970PV,CUVAWetlnd142,Acer x freemanii,8,2,6,2023-07-10,VIBI_herb_2023-08-28_150037.csv
CUVAWetlnd20230710,970PV,CUVAWetlnd142,Acer x freemanii,9,2,7,2023-07-10,VIBI_herb_2023-08-28_150037.csv
CUVAWetlnd20230629,1049,CUVAWetlnd145,Acer negundo,2,3,8,2023-06-29,VIBI_herb_2023-08-28_150037.csv
CUVAWetlnd20230629,1049,CUVAWetlnd145,Acer negundo,3,2,8,2023-06-29,VIBI_herb_2023-08-28_150037.csv
CUVAWetlnd20230629,1049,CUVAWetlnd145,Acer negundo,8,2,7,2023-06-29,VIBI_herb_2023-08-28_150037.csv
CUVAWetlnd20230629,1049,CUVAWetlnd145,Acer negundo,9,2,7,2023-06-29,VIBI_herb_2023-08-28_150037.csv
CUVAWetlnd20230707,970,CUVAWetlnd156,Acer negundo,2,6,6,2023-07-07,VIBI_herb_2023-08-28_150037.csv
CUVAWetlnd20230707,970,CUVAWetlnd156,Acer negundo,3,3,6,2023-07-07,VIBI_herb_2023-08-28_150037.csv
CUVAWetlnd20230710,970,CUVAWetlnd156,Acer negundo,8,6,6,2023-07-10,VIBI_herb_2023-08-28_150037.csv
CUVAWetlnd20230710,970,CUVAWetlnd156,Acer negundo,9,5,5,2023-07-10,VIBI_herb_2023-08-28_150037.csv
CUVAWetlnd20230707,1047,CUVAWetlnd144,Acer sp.,2,1,1,2023-07-07,VIBI_herb_2023-08-28_150037.csv
CUVAWetlnd20230707,970,CUVAWetlnd156,Acer rubrum,2,1,1,2023-07-07,VIBI_herb_2023-08-28_150037.csv
