ID,EventID,LocationID,ModNo,Scientific_Name,DBH
1,CUVAWetlnd2014Jul31,CUVAWetlnd155,2.00,Acer rubrum,67.90
2,CUVAWetlnd2014Jul31,CUVAWetlnd155 ,3.00,Quercus palustris,41.80
3,CUVAWetlnd2014Jul31,CUVAWetlnd155 ,6.00,Acer rubrum,67.20
4,CUVAWetlnd2014Jul31,CUVAWetlnd155 ,6.00,Quercus palustris,51.60
5,CUVAWetlnd2014Jul31,CUVAWetlnd155 ,10.00,Quercus bicolor,64.40
6,CUVAWetlnd2014Jul31,CUVAWetlnd155 ,10.00,Fraxinus pennsylvanica,40.50
25,CUVAWetlnd2013Aug12,CUVAWetlnd150,3.00,Populus deltoides,42.50
27,CUVAWetlnd2013Aug12,CUVAWetlnd150,4.00,Populus deltoides,72.20
29,CUVAWetlnd2013Aug12,CUVAWetlnd150,5.00,Populus deltoides,49.70
30,CUVAWetlnd2013Aug12,CUVAWetlnd150,5.00,Populus deltoides,48.20
38,CUVAWetlnd2013Aug12,CUVAWetlnd150,6.00,Populus deltoides,56.80
39,CUVAWetlnd2013Aug12,CUVAWetlnd150,6.00,Populus deltoides,54.10
40,CUVAWetlnd2013Aug12,CUVAWetlnd150,7.00,Populus deltoides,69.60
41,CUVAWetlnd2013Aug12,CUVAWetlnd150,7.00,Populus deltoides,63.40
42,CUVAWetlnd2013Aug12,CUVAWetlnd150,8.00,Populus deltoides,42.90
43,CUVAWetlnd2013Aug12,CUVAWetlnd150,5.00,Standing dead,76.10
44,CUVAWetlnd2013Aug12,CUVAWetlnd150,5.00,Standing dead,57.00
45,CUVAWetlnd2013Jul31,CUVAWetlnd146,2.00,Acer saccharinum,41.50
46,CUVAWetlnd2013Jul31,CUVAWetlnd146,4.00,Platanus occidentalis,75.50
47,CUVAWetlnd2013Aug28,CUVAWetlnd148,2.00,Populus deltoides,98.70
48,CUVAWetlnd2013Aug19,CUVAWetlnd149,1.00,Salix nigra,55.20
49,CUVAWetlnd2013Aug19,CUVAWetlnd149,2.00,Salix nigra,55.20
50,CUVAWetlnd2014Aug14,CUVAWetlnd157,1.00,Standing dead,56.40
51,CUVAWetlnd2014Aug14,CUVAWetlnd157,1.00,Populus deltoides,70.20
52,CUVAWetlnd2014Aug14,CUVAWetlnd157,2.00,Acer saccharinum,42.80
53,CUVAWetlnd2014Aug14,CUVAWetlnd157,3.00,Populus deltoides,81.30
54,CUVAWetlnd2014Aug14,CUVAWetlnd157,4.00,Acer saccharinum,43.70
55,CUVAWetlnd2014Aug14,CUVAWetlnd157,5.00,Populus deltoides,48.80
56,CUVAWetlnd2014Aug14,CUVAWetlnd157,5.00,Populus deltoides,58.30
57,CUVAWetlnd2014Aug14,CUVAWetlnd157,5.00,Populus deltoides,66.30
58,CUVAWetlnd2014Aug14,CUVAWetlnd157,6.00,Ulmus americana,48.20
59,CUVAWetlnd2014Aug14,CUVAWetlnd157,7.00,Populus deltoides,66.10
60,CUVAWetlnd2014Aug14,CUVAWetlnd157,7.00,Aesculus glabra,51.70
