VIBI_Woody_ID,EventID,LocationID,FeatureID,Module_No,Scientific_Name,DiamID,Count
1,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,2,Acer x freemanii,C6,1
5,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Cornus racemosa,C1,1
6,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Cornus racemosa,C2,3
7,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Standing dead,C2,2
8,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Standing dead,C3,5
9,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Standing dead,C4,7
10,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Standing dead,C5,2
11,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Standing dead,C7,1
12,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Rosa multiflora,C0,19
13,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Rosa multiflora,C2,1
14,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Ulmus americana,C2,1
15,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Ulmus americana,C3,2
16,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Ulmus americana,C4,4
17,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Malus baccata,C2,2
18,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Malus baccata,C3,1
19,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Malus baccata,C4,3
20,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Fraxinus pennsylvanica,C2,1
21,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Fraxinus pennsylvanica,C5,1
22,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,4,Fraxinus pennsylvanica,C6,2
23,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Rosa multiflora,C0,40
24,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Cornus racemosa,C1,1
25,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Cornus racemosa,C2,2
26,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Cornus racemosa,C3,2
27,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Fraxinus pennsylvanica,C1,2
28,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Standing dead,C1,1
29,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Standing dead,C2,2
30,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Standing dead,C3,8
31,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Standing dead,C4,4
32,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Standing dead,C5,2
33,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Standing dead,C9,1
34,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Ulmus americana,C3,1
35,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Ulmus americana,C6,1
36,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Ulmus americana,C8,1
37,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Vitis riparia,C2,1
39,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Malus sieboldii,C1,1
40,CUVAWetlnd2015Jun22,CUVAWetlnd184,310,5,Ligustrum vulgare,C1,1
41,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Cornus racemosa,C1,18
42,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Cornus racemosa,C2,13
43,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Cornus racemosa,C3,6
44,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Juglans nigra,C2,1
45,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Juglans nigra,C3,1
46,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Juglans nigra,C4,1
47,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Rubus allegheniensis,C1,1
48,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Rosa multiflora,C0,7
49,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Vitis riparia,C2,2
50,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Vitis riparia,C3,1
51,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Viburnum plicatum,C0,1
52,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Viburnum plicatum,C1,3
53,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Cornus drummondii,C3,1
54,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Sambucus canadensis,C2,3
55,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Standing dead,C0,1
56,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Standing dead,C1,14
57,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Standing dead,C2,11
58,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Standing dead,C3,6
59,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Viburnum sp.,C1,3
60,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Fraxinus pennsylvanica,C1,2
61,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Rhamnus frangula,C1,2
62,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Ulmus americana,C5,1
63,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,1,Lindera benzoin,C1,1
64,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,2,Carya ovata,C1,3
65,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,2,Fraxinus pennsylvanica,C1,1
66,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,2,Rosa multiflora,C0,15
67,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,2,Rosa multiflora,C2,2
68,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,2,Cornus racemosa,C1,21
69,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,2,Cornus racemosa,C2,10
70,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,2,Cornus racemosa,C3,2
71,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,2,Viburnum plicatum,C0,1
72,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,2,Standing dead,C1,5
73,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,2,Standing dead,C2,4
74,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,2,Rhamnus frangula,C1,1
75,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Cornus amomum,C1,28
76,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Cornus amomum,C2,10
77,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Cornus amomum,C3,3
78,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Fraxinus pennsylvanica,C1,4
79,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Standing dead,C1,4
80,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Standing dead,C2,6
81,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Standing dead,C3,1
