EventID,LocationID,FeatureID,Species,VoucherNo,ModNo,CovCode,Comments
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Eupatorium perfoliatum,,2,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Carex lurida,,2,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Cornus racemosa,,2,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Galium asprellum,,2,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Cornus amomum,,2,5,Obliqua
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Impatiens capensis,,2,7,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Symphyotrichum puniceum,,2,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Epilobium parviflorum,,2,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Typha latifolia,,2,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Ranunculus septentrionalis,,2,4,Ranunculus septentrionalis
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Solidago patula,,2,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Parthenocissus quinquefolia,,2,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Thelypteris palustris,,2,7,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Symplocarpus foetidus,,2,7,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Myosotis scorpioides,,2,8,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Sagittaria latifolia,,2,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Chelone glabra,,2,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Lindera benzoin,,2,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Amphicarpaea bracteata,,2,3,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Galium asprellum,,1,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Salix sericea,,2,7,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Scutellaria lateriflora,,2,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Ribes americanum,,2,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Schoenoplectus tabernaemontani,,2,3,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Solanum dulcamara,,2,3,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Carex bromoides,,2,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Epilobium coloratum,,2,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Rumex obtusifolius,,2,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Tilia americana,,2,3,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Equisetum arvense,,2,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Pilea pumila,,2,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Apios americana,,2,6,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Mimulus alatus,,2,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Carpinus caroliniana,,2,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Polygonum sagittatum,,1,2,
