SpeciesCode,WoodySpecies
ABUTHE,Abutilon theophrasi
ABUTHE,Abutilon theophrasti
ACADEA,Acalypha deamii
ACAOST,Acalypha ostryifolia
ACARHO,Acalypha rhomboidea
ACALYP,Acalypha sp.
ACAVIR,Acalypha virginica
ACENEG,Acer negundo
ACENIG,Acer nigrum
ACEPAL,Acer palmatum
ACEPEN,Acer pensylvanicum
ACEPLA,Acer platanoides
ACERUB,Acer rubrum
ACESAC,Acer saccharinum
ACESAR,Acer saccharum
ACER,Acer sp.
ACESPI,Acer spicatum
ACETAT,Acer tataricum
ACEFRE,Acer x freemanii
ACHMIL,Achillea millefolium
ACONOV,Aconitum noveboracense
ACONIT,Aconitum sp.
ACOUNC,Aconitum uncinatum
ACOAME,Acorus americanus
ACOCAL,Acorus calamus
ACTALB,Actaea alba
ACTRUB,Actaea rubra
ACTAEA,Actaea sp.
ACTARG,Actinidia arguta
ADIPED,Adiantum pedatum
ADLFUN,Adlumia fungosa
AEGCYL,Aegilops cylindrica
AEGPOD,Aegopodium podagraria
AESFLA,Aesculus flava
AESGLA,Aesculus glabra
AESHIP,Aesculus hippocastanum
AESCUL,Aesculus sp.
AETCYN,Aethusa cynapium
AGOAUR,Agalinis auriculata
AGAGAT,Agalinis gattingeri
AGAPUPA,Agalinis purpurea (L.) Pennell var. parviflora
AGAPUPA,Agalinis purpurea var. parviflora
AGAPUPU,Agalinis purpurea var. purpurea
AGASKI,Agalinis skinneriana
AGALIN,Agalinis sp.
AGATEN,Agalinis tenuifolia
AGANEP,Agastache nepetoides
AGASCR,Agastache scrophulariifolia
AGASTA,Agastache sp.
AGRGRY,Agrimonia gryposepala
AGRPAR,Agrimonia parviflora
AGRPUB,Agrimonia pubescens
AGRROS,Agrimonia rostellata
AGRIMO,Agrimonia sp.
AGRSTR,Agrimonia striata
AGRDES,Agropyron desertorum
AGRGIT,Agrostemma githago
AGRCAP,Agrostis capillaris
AGRELL,Agrostis elliottiana
AGRGIG,Agrostis gigantea
AGRHYE,Agrostis hyemalis
AGRPER,Agrostis perennans
AGROST,Agrostis sp.
AGRSTO,Agrostis stolonifera
AGRTEN,Agrostis tenuis
AILALT,Ailanthus altissima
AIRCAR,Aira caryophyllea
AJUGEN,Ajuga genevensis
AJUREP,Ajuga reptans
AKEQUI,Akebia quinata
ALBJUL,Albizia julibrissin
ALEFAR,Aletris farinosa
ALISMA,Alisma sp.
ALISUB,Alisma subcordatum
ALITRI,Alisma triviale
ALLPET,Alliaria petiolata
ALLCAN,Allium canadense
ALLCER,Allium cernuum
ALLSAT,Allium sativum
ALLSCH,Allium schoenoprasum
ALLIUM,Allium sp.
ALLTRI,Allium tricoccum
ALLVIN,Allium vineale
ALNGLU,Alnus glutinosa
ALNINC,Alnus incana
ALNSER,Alnus serrulata
ALNUS,Alnus sp.
ALOAEQ,Alopecurus aequalis
