SCIENTIFIC_NAME,ACRONYM,AUTHORITY,COFC,SYN,COMMON_NAME,FAMILY,FN,WET,FORM,HABIT,SHADE,USDA_ID,OH_TORE,TYPE,OH_STATUS,EMP,MW,NCNE,NOTES,GROUP
Abutilon theophrasti,ABUTHE,Medik.,0,,VELVETLEAF,Malvaceae,,UPL,forb,AN,advent,ABTH,,DI,adventive,UPL,FACU,FACU,,
Acalypha deamii,ACADEA,(Weath.) Ahles.,0,syn,DEAM'S TWO-SEEDED MERCURY,Euphorbiaceae,1.00,(FAC),forb,AN,partial,ACDE4,,DI,native,,,,,
Acalypha ostryifolia,ACAOST,Riddell,0,,HORNBEAM THREE-S. MERCURY,Euphorbiaceae,,(FACU-),forb,AN,advent,ACOS,,DI,adventive,,,,,
Acalypha rhomboidea,ACARHO,Raf.,0,syn,RHOMBIC THREE-S. MERCURY,Euphorbiaceae,,FACU-,forb,AN,partial,ACRH,,DI,native,FACU,FACU,FACU,,
Acalypha sp.,ACALYP,L.,,,COPPERLEAF,Euphorbiaceae,,ND,forb,AN,ND,ACALY,,DI,,,,,,
Acalypha virginica,ACAVIR,L.,0,syn,VIRGINIA THREE-S. MERCURY,Euphorbiaceae,,FACU-,forb,AN,partial,ACVI,,DI,native,FACU,FACU,FACU,,
Acer negundo,ACENEG,L.,3,,BOX ELDER,Aceraceae,2.00,FAC+,tree,W,tree,ACNE2,,DI,native,FAC,FAC,FAC,,
Acer nigrum,ACENIG,Marshall,5,,BLACK MAPLE,Aceraceae,,,tree,W,tree,,,,,,,,,DI
Acer palmatum,ACEPAL,Thunb.,0,,JAPANESE MAPLE,Aceraceae,,(FACU),tree,W,advent,ACPA2,,DI,adventive,,,,,
Acer pensylvanicum,ACEPEN,L.,10,,STRIPED MAPLE,Aceraceae,,FACU,tree,W,tree,ACPE,E,DI,native,FACU,FACU,FACU,,
Acer platanoides,ACEPLA,L.,0,,NORWAY MAPLE,Aceraceae,,UPL,tree,W,advent,ACPL,,DI,adventive,UPL,UPL,UPL,,
Acer rubrum,ACERUB,L.,2,,RED MAPLE,Aceraceae,3.00,FAC,tree,W,tree,ACRU,,DI,native,FAC,FAC,FAC,,
Acer saccharinum,ACESAC,L.,3,,SILVER MAPLE,Aceraceae,,FACW,tree,W,tree,ACSA2,,DI,native,FACW,FACW,FACW,,
Acer saccharum,ACESAR,Marshall,5,,SUGAR MAPLE,Aceraceae,4.00,FACU-,tree,W,tree,ACSA3,,DI,native,FACU,FACU,FACU,,
Acer sp.,ACER,L.,,,MAPLE,Aceraceae,,ND,tree,W,tree,ACER,,DI,,,,,,
Acer spicatum,ACESPI,Lam.,8,,MOUNTAIN MAPLE,Aceraceae,,FACU-,tree,W,tree,ACSP2,,DI,native,FACU,FACU,FACU,,
Acer tataricum,ACETAT,L.,0,,TATARIAN MAPLE,Aceraceae,,(FACU),tree,W,advent,ACTA80,,DI,adventive,,,,,
Acer x freemanii,ACEFRE,E.Murray,3,,Freeman maple,Aceraceae,,FACW,tree,W,tree,ACFR,,DI,native,FACW,FACW,FACW,Added to table 7/3/14,
Achillea millefolium,ACHMIL,DC.,1,,YARROW,Asteraceae,5.00,FACU,forb,PE,full,ACMI2,,DI,native,FACU,FACU,FACU,,
Aconitum noveboracense,ACONOV,A. Gray,10,syn,NORTHERN MONKSHOOD,Ranunculaceae,,(UPL),forb,PE,shade,ACNO2,E,DI,native,,,,,
Aconitum sp.,ACONIT,L.,10,,MONKSHOOD,Ranunculaceae,,ND,forb,PE,shade,ACONI,,DI,,,,,,
Aconitum uncinatum,ACOUNC,L.,10,,SOUTHERN MONKSHOOD,Ranunculaceae,,(FAC+),forb,PE,shade,ACUN,E,DI,native,FAC,,,,
Acorus americanus,ACOAME,(Raf.) Raf.,6,,AMERICAN SWEET-FLAG,Acoraceae,,(OBL),forb,PE,full,ACAM,P,DI,native,OBL,OBL,OBL,,
Acorus calamus,ACOCAL,L.,0,,SWEET-FLAG,Acoraceae,,OBL,forb,PE,advent,ACAM,,DI,adventive,OBL,OBL,OBL,,
Actaea alba,ACTALB,(L.) Mill.,7,syn,WHITE BANEBERRY,Ranunculaceae,,UPL,forb,PE,shade,ACPA,,DI,native,UPL,FACU,UPL,syn. Actaea pachypoda,
Actaea rubra,ACTRUB,(Aiton) Willd.,7,,RED BANEBERRY,Ranunculaceae,,UPL,forb,PE,shade,ACRU2,T,DI,native,UPL,FACU,FACU,,
Actaea sp.,ACTAEA,L.,,,BANEBERRY,Ranunculaceae,,UPL,forb,PE,shade,ACTAE,,DI,,,,,,
Actinidia arguta,ACTARG,(Siebold & Zucc.) Planch. ex Miq. ,0,,TARA VINE,Actinidiaceae,,(UPL),vine,PE,advent,,,DI,adventive,,,,,
Adiantum pedatum,ADIPED,L.,6,,MAIDENHAIR FERN,Pteridaceae,,FAC-,fern,PE,shade,ADPE,,SVP,native,FAC,FACU,FACU,,
Adlumia fungosa,ADLFUN,(Aiton) Greene ex B.S.P.,8,,MOUNTAIN-FRINGE,Fumariaceae,,(UPL),forb,BI,shade,ADFU,T,DI,native,,,,,
Aegilops cylindrica,AEGCYL,Host,0,,JOINTED GOAT-GRASS,Poaceae,,(UPL),grass,AN,advent,AECY,,MO,adventive,,,,,
Aegopodium podagraria,AEGPOD,L.,0,,GOUTWEED,Apiaceae,,FACU,forb,PE,advent,AEPO,,DI,adventive,FACU,FAC,FAC,,
Aesculus flava,AESFLA,Aiton,7,syn,YELLOW BUCKEYE,Hippocastanaceae,6.00,(UPL),tree,W,tree,AEFL,,DI,native,FACU,FACU,FACU,,
Aesculus glabra,AESGLA,Willd.,6,,OHIO BUCKEYE,Hippocastanaceae,7.00,FACU+,tree,W,tree,AEGL,,DI,native,FACU,FAC,FAC,,
Aesculus hippocastanum,AESHIP,L.,0,,HORSE-CHESTNUT,Hippocastanaceae,,(UPL),tree,W,advent,AEHI,,DI,adventive,,,,,
Aesculus sp.,AESCUL,L.,,,BUCKEYE,Hippocastanaceae,,ND,tree,W,tree,AESCU,,DI,,,,,,
Aethusa cynapium,AETCYN,L.,0,,FOOL'S-PARSLEY,Apiaceae,,(FACU),forb,AN,advent,AECY2,,DI,adventive,,,,,
Agalinis auriculata,AGOAUR,(Michx.) S.F. Blake,8,syn,EAR-LEAVED FOXGLOVE,Scrophulariaceae,,(UPL),forb,AN,full,AGAU3,E,DI,native,,,,,
Agalinis gattingeri,AGAGAT,(Small) Small ex Britton,8,syn,GATTINGER'S FOXGLOVE,Scophulariaceae,,(FACW),forb,AN,full,AGGA,T,DI,native,,,,,
Agalinis purpurea (L.) Pennell var. parviflora,AGAPUPA,(Benth.) B. Boivin,10,syn,SMALL PURPLE FOXGLOVE,Scophulariaceae,,FACW+,forb,AN,full,AGPUP,E,DI,native,,,,,
Agalinis purpurea var. parviflora,AGAPUPA,(Benth.) B. Boivin,10,,SMALL PURPLE FOXGLOVE,Scrophulariaceae,,,forb,AN,full,,,,,,,,,DI
Agalinis purpurea var. purpurea,AGAPUPU,(L.) Pennell,6,syn,LARGE PURPLE FOXGLOVE,Scophulariaceae,,FACW-,forb,AN,full,AGPUC,,DI,native,,,,,
Agalinis skinneriana,AGASKI,(A.W. Wood) Britton,10,syn,SKINNER'S FOXGLOVE,Scophulariaceae,8.00,(FACW),forb,AN,full,AGSK,E,DI,native,,,FACU,,
Agalinis sp.,AGALIN,Raf.,,,FALSE FOXGLOVE,Scrophulariaceae,,ND,forb,AN,full,AGALI,,DI,,,,,,
Agalinis tenuifolia,AGATEN,(M. Vahl) Raf.,4,syn,SLENDER FOXGLOVE,Scophulariaceae,9.00,FAC,forb,AN,full,AGTE3,,DI,native,FAC,FACW,FACW,,
Agastache nepetoides,AGANEP,(L.) Kuntze,4,,YELLOW GIANT-HYSSOP,Lamiaceae,,FACU,forb,PE,shade,AGNE2,,DI,native,FACU,FACU,FACU,,
Agastache scrophulariifolia,AGASCR,(Willd.) Kuntze,4,,PURPLE GIANT-HYSSOP,Lamiaceae,,(UPL),forb,PE,shade,AGSC,,DI,native,,,,,
Agastache sp.,AGASTA,Clayton ex Gronov.,,,GIANT-HYSSOP,Lamiaceae,,ND,forb,PE,shade,AGAST,,DI,,,,,,
Agrimonia gryposepala,AGRGRY,Wallr.,3,,TALL AGRIMONY,Rosaceae,,FACU,forb,PE,partial,AGGR2,,DI,native,FACU,FACU,FACU,,
