EventID,LocationID,FeatureID,Module_No,Scientific_Name,DiamID,Count
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Rosa multiflora,C0,5
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Rosa multiflora,C1,2
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Rosa multiflora,C2,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Rubus pensilvanicus,C1,4
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Viburnum recognitum,C0,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Vitis riparia,C1,4
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Lonicera morrowii,C0,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Lonicera morrowii,C3,3
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Lonicera morrowii,C4,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Salix nigra,C1,2
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Salix nigra,C2,2
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Salix nigra,C4,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Cornus obliqua,C0,6
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Cornus obliqua,C1,32
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Cornus obliqua,C2,7
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Sambucus canadensis,C0,10
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Sambucus canadensis,C1,2
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Sambucus canadensis,C2,6
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Sambucus canadensis,C3,7
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Parthenocissus quinquefolia,C1,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Standing dead,C0,3
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Standing dead,C2,3
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Platanus occidentalis,C1,2
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Platanus occidentalis,C2,2
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Platanus occidentalis,C3,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Ulmus americana,C1,3
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,1,Ribes americanum,C1,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Cornus obliqua,C0,2
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Cornus obliqua,C1,6
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Cornus obliqua,C2,5
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Rhamnus frangula,C2,2
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Rhamnus frangula,C3,6
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Ulmus americana,C1,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Ulmus americana,C3,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Parthenocissus quinquefolia,C1,5
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Parthenocissus quinquefolia,C2,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Standing dead,C0,3
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Standing dead,C1,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Standing dead,C3,2
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Viburnum dentatum,C2,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Sambucus canadensis,C0,6
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Sambucus canadensis,C1,6
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Sambucus canadensis,C2,6
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Rosa multiflora,C2,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Lonicera morrowii,C0,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,2,Lonicera morrowii,C2,5
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Rosa multiflora,C1,2
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Parthenocissus quinquefolia,C1,4
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Parthenocissus quinquefolia,C2,2
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Cornus obliqua,C1,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Cornus obliqua,C2,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Lonicera morrowii,C0,3
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Lonicera morrowii,C3,5
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Lonicera morrowii,C4,2
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Vitis riparia,C1,4
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Vitis riparia,C2,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Standing dead,C1,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Standing dead,C2,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Platanus occidentalis,C2,2
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Platanus occidentalis,C3,1
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Rubus pensilvanicus,C1,11
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Rubus pensilvanicus,C2,5
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,3,Ulmus americana,C2,1
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Fraxinus pennsylvanica,C2,1
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Cornus obliqua,C0,3
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Cornus obliqua,C1,20
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Cornus obliqua,C2,5
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Rosa multiflora,C0,4
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Rosa multiflora,C1,1
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Viburnum recognitum,C1,5
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Viburnum recognitum,C2,3
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Viburnum dentatum,C1,1
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Viburnum dentatum,C2,8
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Malus baccata,C1,2
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Malus baccata,C2,4
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Lindera benzoin,C0,1
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Standing dead,C0,1
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Standing dead,C2,3
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,1,Standing dead,C3,2
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Salix discolor,C0,3
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Salix discolor,C2,16
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Salix discolor,C3,3
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Standing dead,C0,1
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Standing dead,C1,1
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Standing dead,C2,2
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Viburnum recognitum,C0,5
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Viburnum recognitum,C1,9
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Cornus obliqua,C1,9
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Cornus obliqua,C2,2
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Viburnum dentatum,C0,3
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Viburnum dentatum,C1,2
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Viburnum dentatum,C2,1
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Malus baccata,C1,2
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,2,Malus baccata,C2,1
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,3,Cornus obliqua,C0,1
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,3,Cornus obliqua,C1,30
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,3,Cornus obliqua,C2,1
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,3,Vitis riparia,C1,2
CUVAWetlnd2023Jul11,CUVAWetlnd129,242VK1,4,Cornus obliqua,C1,3
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Platanus occidentalis,C0,1
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Platanus occidentalis,C1,8
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Platanus occidentalis,C2,12
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Platanus occidentalis,C3,5
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Platanus occidentalis,C4,5
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Crataegus punctata,C0,2
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Crataegus punctata,C3,1
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Crataegus punctata,C4,2
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Parthenocissus quinquefolia,C1,2
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Lindera benzoin,C0,3
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Lindera benzoin,C1,2
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Lindera benzoin,C2,2
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Standing dead,C2,3
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Standing dead,C5,1
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Standing dead,C10,1
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Salix alba,C0,3
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Salix alba,C1,2
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Celastrus orbiculatus,C1,3
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Rosa multiflora,C0,5
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Lonicera maackii,C0,3
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,6,Aesculus glabra,C1,1
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,1,Salix nigra,C0,2
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,1,Salix nigra,C1,9
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,1,Salix nigra,C2,7
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,1,Salix nigra,C3,7
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,1,Salix nigra,C4,1
CUVAWetlnd2023Jul13,CUVAWetlnd130,242VK2,1,Salix nigra,C5,1
